Course Name,Prerequisites,Credits,Course Length,Grade Year,is AP,is Honors,Course Description,Department,Number
INTRODUCTION TO BUSINESS (613),None.,5.0,Full Year,9-10,False,False,Introduction to Business is designed to provide students with a background in all areas of business including marketing management finance economics and business ethics.  Students will write a business plan to launch a new business idea.  Personal financial literacy standards covered include banking budgeting saving and investing careers and credit.  Introduction to Business is a foundation for success in all other business courses and fulfills the Personal Financial Literacy state-mandated graduation requirement.,Business,0
CAREER EXPLORATION (771),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,5.0,Full Year,9-12,False,False,This course a dedicated transition program prepares students to negotiate between school post-secondary education employment adult living and living within their community.  This course is the first step in formal career exploration within which a special educator provides learning opportunities to expand students’ awareness of their strengths interests and preferences in relation to post-secondary transition.  Students will have opportunities to explore careers through hands-on experiences within the classroom and the school community.,Business,1
CAREER INTERNSHIP PROGRAM 1 (CIP) (772),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,10.0,Full Year,10-12,False,False,This is a dedicated transition program that prepares students to negotiate between school post-secondary education employment adult living and living within their community.  Students enrolled in this course may do so for one or two periods within the school day.  Students continue to evaluate their options for post-secondary transition through structured completion of: career and interest inventories hands-on work in the CIP lab sites including: catering/cooking retail sales office occupations imprinting engraving computer graphics horticulture; and community experiences to explore college and career options.  In addition students will have opportunities to job-sample within the school community in preparation for internships and employment within their local community.,Business,2
CAREER INTERNSHIP PROGRAM 2 (CIP) (773),CIP 1 or assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,10.0,Full Year,11-12,False,False,This is a dedicated program that prepares students to negotiate between school post-secondary education employment adult living and living within their community.  The Career Internship Program 2 is designed to assist students in preparing for the challenges they will face as individuals consumers employees and family members.  The program includes opportunities to integrate academic skills with problem solving strategies while providing hands-on applications of these.  The overall focus of the program is to facilitate transition into adult life.  Students enrolled in this course may do so one or more periods within their school day.  Teachers utilize a multi-disciplinary approach to prepare students for their post-secondary transition with the seven areas of transition as the structure by which students will achieve success.  These include: exploration of college and educational options adult living daily living related services community experiences employment and functional vocational.  Opportunities to continue work in the CIP lab the school community and the local community are provided to assist students in learning the skills necessary to navigate the work and/or school environment.  This course provides daily opportunities for students to develop job appropriate behaviors while interacting with co-workers and supervisors.,Business,3
CAREER INTERNSHIP PROGRAM 3 (CIP) (776),CIP 2 or assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,10.0,Full Year,11-12,False,False,This is a dedicated program that prepares students to negotiate between school post-secondary education employment adult living and living within their community.  The Career Internship Program 3 is designed to assist students in preparing for the challenges they will face as individuals consumers employees and family members.  The program includes opportunities to integrate academic skills with problem solving strategies while providing hands-on applications of these.  The overall focus of the program is to facilitate transition into adult life.  Students enrolled in this course may do so one or more periods within their school day.  Teachers utilize a multi-disciplinary approach to prepare students for their post-secondary transition with the seven areas of transition as the structure by which students will achieve success.  These include: exploration of college and educational options adult living daily living related services community experiences employment and functional vocational.  Opportunities to continue work in the CIP lab the school community and the local community are provided to assist students in learning the skills necessary to navigate the work and/or school environment.  This course provides daily opportunities for students to develop job appropriate behaviors while interacting with co-workers and supervisors.,Business,4
CAREER INTERNSHIP PROGRAM - COMMUNITY (006),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,10.0,Full Year,9-12,False,False,This course prepares students for independent living and successful contribution to their home and community.  The classroom designed to teach daily living skills has an apartment with a fully functional kitchen laundry facility closets a living room in addition to an academic space for learning. The course is linked to functional academics which are taught through direct instruction then applied and practiced in the community.  Social skills and daily living skills are embedded into all instruction.  Experiences include but are not limited to shopping at local stores budgeting and banking working in a real business as well as leisure and recreational activities.  Students first begin practical application by having jobs throughout the school building as an opportunity to learn and master skills.  Students then practice acquired skills in the community including use of public transportation in order to access all that Livingston and the surrounding communities have to offer.  Through career exploration and exposure to various employment opportunities students are encouraged to find their own path.,Business,5
ACCOUNTING 1 (621),None.,5.0,Full Year,10-12,False,False,Accounting 1 is designed to provide students with an in-depth understanding of financial accounting concepts and procedures that will enable them to complete manual and computerized accounting applications.  This course uses a college textbook and includes topics such as the accounting cycle cash transactions inventory control depreciable assets accounting for small businesses and uncollectible accounts.  Students also develop an understanding of the financial activities of service and merchandising businesses as well as competencies in managing personal affairs and participate in a stock market simulation.,Business,6
ACCOUNTING 2 (632),Successful completion of Accounting 1.,5.0,Full Year,11-12,False,False,Accounting 2 continues with the study of financial accounting and introduces managerial accounting. This course uses a college textbook and includes topics such as the analysis and interpretation of financial statements the treatment of tangible and intangible assets calculation of payroll an in-depth study of corporate accounting and an overview of cost systems. Analysis of actual corporate records and investigation of stocks and bonds as investments are explored.  Students will complete an accounting simulation and create their own merchandising company in Quickbooks Accounting Software. As a dual enrollment course students who earn a minimum grade of “C” in Accounting 2 are eligible to receive three (3) credits from Fairleigh Dickinson University.,Business,7
COOPERATIVE WORK EXPERIENCE (CO-OP) (642),None.,15.0,Full Year,11-12,False,False,Cooperative Work Experience (Co-op) is a structured course/program combining classroom-based learning and practical work experience.  The co-op program combines a required minimum of 540 cumulative hours of on-the-job between July 1st and June 15th supervised work experience with a related theory class that meets in school for one period. Students can schedule up to 3 additional afternoon periods to leave the campus and engage in their work/job.  Students' co-op schedules will be planned with an eye to optimizing student off-campus work opportunities in the afternoon.  The teacher-coordinator conducts an evaluation four times yearly to ensure the placement is a meaningful learning experience.  Students must be able to drive (or arrange transportation) to their worksite.,Business,8
BUSINESS LAW 1 (635),None.,5.0,Full Year,10-12,False,False,Business Law 1 offers high school students a comprehensive exploration of the intricate relationship between law and the business world. Through this course students will delve into the historical evolution of our legal systems gain an understanding of diverse legal structures and examine key areas such as contract law and the legal rights of minors including their interactions with law enforcement. Furthermore students will be introduced to civil and criminal procedures with a focus on in-depth discussions led by legal professionals on topics like torts negligence criminal justice contracts property and negotiable instruments. The course includes the immersive experience of three classroom mock trials culminating in one trial held in an actual courtroom. Students are also encouraged to participate in the prestigious NJ Bar Association Mock Trial competition. Business Law 1 is an invaluable resource for those considering future studies in business administration or law equipping them with foundational knowledge and practical insights into the legal landscape of the business realm.,Business,9
