Section,Grade,Course
Sequence,9,General English 1 - English 1 CP
Sequence,9,General English 1 - English 1 Honors
Sequence,9,General English 1 - English 1 Humanities CP
Sequence,9,General English 1 - English 1 Humanities Honors
Sequence,9,English for Success
Sequence,10,General English 2 - English 2 CP
Sequence,10,General English 2 - English 2 Honors
Sequence,10,General English 2 - English 2 Humanities CP
Sequence,10,General English 2 - English 2 Humanities Honors
Sequence,10,English for Success
Sequence,11,General English 3 - English 3 CP
Sequence,11,General English 3 - English 3 Honors
Sequence,11,General English 3 - English 3 Humanities CP
Sequence,11,General English 3 - English 3 Humanities Honors
Sequence,11,AP Language & Composition
Sequence,11,English for Success
Sequence,12,General English 4 - English 4 CP
Sequence,12,General English 4 - English 4 Honors
Sequence,12,AP Literature & Composition
Sequence,12,English for Success
Additional,9-12,Creative Writing
Additional,9-12,Public Speaking and Debate
Additional,9-12,Reading and Writing for Success
Elective,10-12,Creative Writing 2
Elective,10-12,Journalism
Elective,10-12,Media Literacy (S)
Elective,10-12,Asian American Pacific Islander (AAPI) Studies (S)
Elective,11-12,Creative Writing 3
Elective,11-12,World Film
Elective,11-12,Newspaper
Elective,11-12,Yearbook
