Area of Interest,Grade,Course
Fashion,9,Fashion 1
Fashion,10-11,Fashion 2
Fashion,10-11,Independent Study
Interior Design,9-12,Interior Design (S)
Interior Design,11-12,Independent Study
Foods,10-12,Food and Nutrition
Foods,10-12,Hotel and Restaurant Management (S)
College/Career Readiness,11-12,Life Hacks and Habits (S)
College/Career Readiness,10-12,Family and Child Development 1 (S)
College/Career Readiness,10-12,Family and Child Development 2 (S)
College/Career Readiness,12,Elementary Education Experience (S)
