Section,Grade,Course
Sequence,9,General Modern World History
Sequence,9,Modern World History CP
Sequence,9,Modern World History Honors
Sequence,9,Modern World History Humanities CP
Sequence,9,Modern World History Humanities Honors
Sequence,10,General US History 1
Sequence,10,US History 1 CP
Sequence,10,US History 1 Honors
Sequence,10,US 1 Humanities CP
Sequence,10,US 1 Humanities Honors
Sequence,11,General US History 2
Sequence,11,US History 2 CP
Sequence,11,US History 2 Honors
Sequence,11,AP US History 2
Sequence,11,US 2 Humanities CP
Sequence,11,US 2 Humanities Honors
Electives,10-12,AP Seminar
Electives,10-12,AP Comparative Government & Politics
Electives,10-12,AP Human Geography
Electives,10-12,AP World History: Modern
Electives,10-12,African American Studies (S)
Electives,10-12,Classical Foundations (S)
Electives,10-12,Community Leadership (S)
Electives,10-12,Gender Studies (S)
Electives,10-12,World Religions (S)
Electives,10-12,Middle Eastern Studies
Electives,11-12,AP African American Studies
Electives,11-12,AP United States Government & Politics
Electives,11-12,AP Research
Electives,11-12,Human Behavior (S)
Electives,11-12,Sociology (S)
Electives,12,AP Psychology
Electives,12,Holocaust & Genocide
Electives,12,Contemporary American History (S)
Electives,12,Modern European History CP
Electives,12,Modern European History Honors
Electives,12,AP European History
